ID,백 구현,구분,method,URI,API,설명,담당,상태
,Yes,카트,POST,/api/carts/{cart_session_id}/camera/view/off,카메라 뷰 끄기,카트의 AI 카메라 스트림 종료,,구현 완료
,Yes,추천,GET,/api/recommendations/by-product/{product_id},AI 레시피 추천,선택 상품과 벡터 유사도가 높은 레시피 추천,,구현 완료
,Yes,결제,POST,/api/payments/request,결제 요청 (자동),무게 검증 후 등록된 수단으로 자동 결제 진행,,구현 완료
,Yes,결제,POST,/api/payments/subscription/register/ready,정기결제 등록 준비,카카오페이 정기결제 등록 요청 (Redirect URL 발급),,구현 완료
,Yes,결제,GET,/api/payments/subscription/register/approve,정기결제 등록 승인,카카오페이 인증 후 빌링키 발급 및 저장,,구현 완료
,Yes,결제,POST,/api/payments/subscription/pay,정기결제 (테스트),저장된 빌링키를 이용한 즉시 결제 테스트,,구현 완료
,Yes,결제,GET,/api/payments/subscription/register/callback,정기결제 콜백,결제 수단 등록 결과 페이지,,구현 완료
,Yes,결제,POST,/api/payments/ready,단건 결제 준비,카카오페이 1회성 결제 준비 요청,,구현 완료
,Yes,결제,POST,/api/payments/approve,단건 결제 승인,카카오페이 1회성 결제 승인 처리,,구현 완료
,Yes,결제,GET,/api/payments/success,결제 성공 페이지,결제 승인 완료 안내 페이지,,구현 완료
,Yes,결제,GET,/api/payments/cancel,결제 취소 페이지,결제 중 취소 안내 페이지,,구현 완료
,Yes,결제,GET,/api/payments/fail,결제 실패 페이지,결제 실패 안내 페이지,,구현 완료
,Yes,결제,GET,/api/payments/methods,결제 수단 목록,등록된 카드/빌링키 목록 조회,,구현 완료
,Yes,결제,POST,/api/payments/methods,결제 수단 등록,결제 수단 수동 등록 (테스트/초기화용),,구현 완료
,Yes,결제,DELETE,/api/payments/methods/{method_id},결제 수단 삭제,등록된 결제 수단 제거,,구현 완료
,Yes,결제,GET,/api/payments/{payment_id},결제 상세 조회,특정 결제 건의 상세 정보 조회,,구현 완료
,Yes,결제,POST,/api/payments/{payment_id}/cancel,결제 취소,승인된 결제에 대한 환불(취소) 요청,,구현 완료
,Yes,가계부,POST,/api/ledger/from-payment/{payment_id},가계부 자동 생성,결제 완료 건을 가계부 내역으로 변환 및 저장,,구현 완료
,Yes,가계부,GET,/api/ledger,가계부 목록 조회,날짜 및 카테고리 필터링 조회,,구현 완료
,Yes,가계부,GET,/api/ledger/calendar,가계부 캘린더,월별 일자별 지출 합계 조회,,구현 완료
,Yes,가계부,GET,/api/ledger/summary/monthly,월별 지출 요약,카테고리별 지출 통계,,구현 완료
,Yes,가계부,GET,/api/ledger/top-categories,Top Categories,지출 금액 기준 상위 카테고리 조회,,구현 완료
,Yes,가계부,GET,/api/ledger/top-items,Top Items,구매 횟수 기준 상위 아이템(카테고리) 조회,,구현 완료
,Yes,가계부,GET,/api/ledger/recent,최근 지출 내역,최근 발생한 결제/지출 내역 조회,,구현 완료
,Yes,가계부,GET,/api/ledger/{ledger_entry_id},가계부 상세 조회,가계부 단건 상세 내용 조회,,구현 완료
,Yes,가계부,PUT,/api/ledger/{ledger_entry_id},가계부 수정,카테고리 및 메모 수정,,구현 완료
